"sem1","sem2"
74.8947870221054,64.9384564313984
63.1540780257129,49.4701573773458
59.9819188827885,66.4472765441092
73.3509299629629,69.7485048859543
63.6020210129513,98.1845252528194
61.2915781585854,81.2981895110617
59.537082864192,92.1187094383193
63.336045952328,75.5954643586439
55.1336218188295,66.6907381101138
49.5635013715558,80.6318440630692
65.7292606288305,61.0486837634396
76.7542538190478,75.728056894383
68.6247958476812,73.9096056937519
71.3032839126687,69.6288011536975
84.9578064361501,62.4454187852716
89.7916099045859,61.7849044039811
65.9228658082988,62.4718398233229
56.8934089354287,86.2167829528781
49.001003685148,52.9794629249043
81.6031187627819,69.2050397538275
65.489940939123,85.2745802212609
54.4934455227189,89.2372082856038
52.0953483856459,82.281282930557
60.6346170123778,60.7373011001177
66.6066447599943,57.7418562856171
80.9335284609985,66.7136852102531
55.5291720630741,47.4558360346349
73.3259958111009,50.3000546401133
64.7036947415356,74.2859079218275
63.976464412787,78.0172626192884
66.9431588642292,66.6558975780517
66.479466661976,51.1519020633355
