"d1","d2"
92.7918249255582,88.5824820690945
84.3145241000346,80.0045026600781
78.7919197695991,73.9368933873409
83.2277126778505,74.3400758041494
80.7102486684525,93.0311958077991
79.079768151287,81.6446542779641
85.1547050412959,85.1856759665134
85.151156518084,81.1488739900389
86.2023603325152,80.2424223590376
92.6399033739054,90.0766488153124
102.67440509268,83.4757526553872
96.5057778036856,94.3810553673081
82.5822684666638,77.4681198592146
95.6506586167625,85.2685590716141
78.0849186719399,66.9597755296442
86.2568240789629,81.0517264163946
79.8888206909318,90.1062664116204
91.4260959486872,90.0491785576854
78.5806079544544,71.2648041665924
103.218410242802,81.6493673919132
81.3772180969995,81.7148957629691
88.5375300516981,84.154493705695
88.2516411656856,86.7004210390054
82.4111322135175,88.5502385934118
83.7485026439132,77.7747089544991
86.1296064528132,79.6731241461713
92.3419635792633,80.5718804731005
85.3103909919648,76.293107000117
95.3438500367299,84.3418786324085
74.9804245225431,74.5497427587266
