x2,y2
4.661169964,-3.310532995
-4.791894035,2.49789091
17.04516418,17.57298266
29.72452485,29.77853609
20.78970746,30.61002829
21.90167565,30.90414028
15.99928728,38.54271643
5.54870368,13.55396124
28.51230741,21.62624526
7.567450985,16.06041112
-1.14726667,11.33827291
18.87196979,23.51918751
34.2985166,45.8319977
8.056295663,32.62624061
16.96255845,33.60481294
21.76225625,22.91132059
8.168638698,22.91183405
13.11719125,30.06431615
23.07720878,13.54285508
16.77263339,28.49516983
18.69620976,29.06363637
15.44707939,8.73455003
9.983951009,9.463797097
24.58400795,22.20879987
36.85257016,57.70343614
4.397721869,9.655566857
8.975052341,12.70148351
20.15715237,50.29957672
0.364698109,31.2180936
10.21587327,7.081260193
3.802554352,5.497914085
16.79251877,26.96228063
5.028538722,12.38827475
27.32266549,28.76761675
9.760182166,13.58092181
-10.28516842,-1.457578189
24.19979001,38.08334406
27.47148018,24.51429671
14.7178811,22.66654865
32.5176586,24.52169527
9.089980822,31.95246449
14.15643385,15.45488215
23.59554234,40.63295934
16.68675581,36.18917245
9.216289007,18.75937302
15.96362059,22.03109684
19.62762891,46.66376925
18.65704388,40.88880925
0.328696802,13.21611308
15.77518513,32.42048626
19.13460292,16.32954926
4.870555809,14.47323363
36.83519767,53.01114849
-7.403877004,-11.41890695
11.98117934,10.98814576
21.03194637,33.88496294
7.47384575,24.21472908
17.41608475,20.58220801
12.74139001,14.36953602
10.78900457,15.47610579
21.80275852,24.55612456
14.62358595,24.21664541
26.10505907,50.05465588
21.69856477,23.34560221
0.573775965,19.48379937
4.131000995,14.80504045
5.990611804,16.28400842
8.004271188,22.98758159
29.61368138,33.46603422
33.95379857,53.31106084
15.41896472,8.172316931
35.43182684,43.2121645
23.327638,39.85711098
7.139266306,14.62585178
-4.225118418,2.297528703
17.52859008,22.77149397
11.41392775,34.81475607
22.85870577,35.58865858
-5.208898058,-3.661406127
11.05220378,24.05965342
19.09156124,15.412794
13.56399143,37.6823856
