"class","score"
"class1",69.1043121197888
"class1",61.1082514677409
"class1",50.874259742176
"class1",66.2203773684592
"class1",62.0802803750367
"class1",68.6641469916561
"class1",63.6735514430041
"class1",68.6389831405861
"class1",62.0623597073948
"class1",76.7906296810826
"class1",56.3849325484525
"class1",50.0471440274409
"class1",69.2546053997866
"class1",67.2953572960025
"class1",64.7084536425037
"class1",61.6235763089506
"class1",62.907738614303
"class1",46.2009756588827
"class1",58.9646734845647
"class1",52.2221605117954
"class1",59.9929116682873
"class1",50.9544472251101
"class1",58.6168492929396
"class1",55.0498125341856
"class1",40.0129462961367
"class1",95.674347786974
"class1",72.9852034132668
"class1",50.8523753259537
"class1",65.3432696410985
"class1",66.7840435897949
"class1",61.8120637896776
"class1",58.1465045923441
"class2",71.4799080135958
"class2",67.1993246621957
"class2",49.0016661760521
"class2",46.4801437114499
"class2",52.5039456209411
"class2",60.1921841081591
"class2",60.1144806377313
"class2",70.68530284952
"class2",68.601754277699
"class2",59.0879089727631
"class2",60.5430938881947
"class2",42.7227829311857
"class2",45.2922044548516
"class2",51.5147661728886
"class2",75.2194081815595
"class2",49.0887692419213
"class2",39.7767080614097
"class2",66.9735039667235
"class2",45.2100509789046
"class2",66.3043891963524
"class2",71.9150496711682
"class2",49.372267759127
"class2",65.9649029842981
"class2",48.0760735138774
"class2",48.4227894412726
"class2",48.1426493226124
"class2",58.1880723832047
"class2",69.3353999267041
"class2",66.5807748852175
"class2",51.1032006852305
"class2",79.2988402088516
