"d1","d2","d3"
62.4865478355535,50.2212216734412,74.0054365259004
53.6484675481456,47.7365210046942,58.5519684937338
44.2961427499974,60.46310146243,55.8471713698232
34.8333851869019,56.639101959425,53.0735361670836
50.797289686737,40.8322776892691,68.5295459003243
35.4526673537328,49.154186548404,77.9912898530596
34.869480249285,58.9847920671227,63.8607277512802
46.3532435170885,48.609528368475,54.7192841952743
35.8576451248761,46.6926671545166,52.8451037998163
40.3511807581236,59.872118290047,49.6996798264505
62.1431262136401,61.8977780737088,76.9007751675273
75.3004859846766,56.9534820469203,67.8711841577104
46.2188273077947,52.5582837783467,55.8729166236949
96.5179037824904,48.9309803072642,68.0054030676958
41.2573542704028,52.1704575331997,63.6245003587404
73.1263759841474,57.1235292665421,42.3073940629917
45.5839448531064,52.0853695273362,41.3672310424813
39.371037999719,55.6889935202476,72.1274567867
71.8923908517082,67.5073140192373,76.848912260463
52.3410923519043,69.6137858314449,67.8979650960141
27.3369398400124,60.5472787522081,75.2547432596665
39.3492189296534,33.6989080536166,68.4279822360466
37.0836519805323,83.1798819374288,48.8073041452595
60.5906362482534,66.6408554459424,30.5726404797842
49.0285118205807,53.7884173771371,62.7357895671114
42.1830400914659,70.524690652795,40.4923848010361
67.6626479977664,61.5163902743614,57.8077096652886
58.8110308534736,60.55313419534,65.317651606606
31.2549382833684,70.6567109940001,16.0597824601952
36.7460046599966,35.4384077696569,59.3858560748527
