"d1","d2"
56.3812427408357,37.4158696381039
30.5091670938155,37.7952440138997
44.085112610686,43.6066333024773
37.3504199021253,38.9643741391015
37.5580095619987,48.0098235967286
40.2358004506453,40.5151283855457
53.2789137159263,39.4872162502832
63.0349750748529,37.3305796952146
56.8219640470145,38.7196119066236
47.7913489519613,30.6427088343022
40.7021217079203,38.4078348989831
55.1843079397498,35.6780502897497
22.7260198965058,39.8750454303552
42.3254172003431,53.3698508992314
54.420083199451,48.2601993496317
40.0899536822381,44.2682836349617
47.0418188626919,36.9603400041633
46.353256322189,41.5564623873803
35.3889799835608,36.2282176057254
39.1676743779084,32.0139939529571
44.9664903575156,33.0580917076309
47.2729878544919,29.5826262546955
47.7168671782472,40.5041708818406
43.5722691018608,37.3817750141869
47.1649138455245,21.3560081874822
48.6095104154453,34.1251800364959
28.9488132655171,42.9175064694956
48.576425133928,26.8546219123911
32.2298518863463,42.0001422689683
45.7970882409761,15.6734817484067
44.6293149006167,40.6447214201643
30.7027606316204,45.0171995199417
52.6016848402562,31.016202472549
46.2767424575475,56.2122359154613
47.0347593692142,42.1943985373433
43.8610102974059,42.7015553382972
34.392234818113,39.9295584897709
41.0069518070302,35.9390145267845
38.4556279230027,34.558578712331
33.855831735766,50.0932401261263
54.9837277387989,29.7060720330712
48.887407455041,52.6253887886652
52.2045444775863,38.6352173793992
59.0660749217666,37.5109563878423
46.367499793166,47.4874761099787
49.4145970425783,38.7045974712535
49.7841631853683,39.8178015658113
52.7916169954107,37.8733309515259
55.5722430463748,34.4908331437761
48.3759445294113,49.6908589702037
