"dat1","dat2"
78.6362111267499,69.3444384034743
77.302383230468,64.834966669542
63.3625660668207,63.0038368436968
88.3811583802191,75.1765419544478
93.7558251460033,56.7568638595263
85.7493591890405,78.7213340142656
72.6463032440055,64.6481477295572
82.793471920034,76.1190498688606
73.1654321435568,83.1288573557952
74.8821686208927,73.5702826656216
65.8225547675153,57.1672341460155
86.7126947758714,65.1110187529297
72.7246506003214,63.055792838427
85.8945131633901,84.4081324055592
64.7186773797835,78.7943141668558
75.7906721531091,64.6124485955892
87.1581181126965,73.3467303712873
67.041385253034,76.492781826999
75.4629940832588,70.3697556028502
85.1753092835283,71.1163349004865
69.742522151727,68.3027944282736
85.9488138019769,64.6512282105127
68.441117691311,61.8511210582388
64.0186631784472,66.2683174845051
77.6601600156383,84.8904310480837
56.8760374375603,71.3343721006816
77.5819129311652,63.853628349989
86.946772818609,82.2159524642874
93.1697395620945,66.7327221494779
71.2462714357028,76.4989695166353
71.4179155597043,65.7159811078319
75.550435684111,66.7963119395294
67.9644479489749,82.547705348299
78.885726730502,75.8525099861382
74.0193225243599,68.1793033471623
59.9521386136542,65.688212959279
64.6042986850952,70.5891323513651
71.1921342920375,60.4832973752373
75.0544229350676,77.9851460850855
71.561565321019,72.0422322607252
86.9726524845001,76.3666713528746
76.8011244813363,77.5035214820188
84.413608795149,73.8173127891118
74.6177396273717,79.2455342054286
82.553558123115,83.3326350589642
73.8613242792035,73.895884234179
76.7798361931094,60.5923210049417
55.4016557885016,65.1364024601206
68.1503023555082,68.0501931280326
79.8703667648061,67.3013677226007
61.2657834987401,62.491930393531
75.3028182391634,73.0879078653786
90.1987145481407,74.7221244976563
59.4859164612096,72.3223689725278
67.3581823113194,66.2955751978981
80.2335611921234,73.2431478650908
76.2489737121508,66.3334427349185
70.2313308577687,65.5888723353408
86.4740671191675,73.4770557270219
84.1014135525776,61.4438155008252
75.3049905322875,54.7536408392761
74.013989632535,68.1184225644999
77.2640466697719,61.4219994599948
72.8225902294046,55.4063313715652
97.407597495336,81.3616368583485
66.1748728860765,73.7654826087381
87.0062809271342,74.7186775889104
63.4660628838178,69.1126020054893
87.3482423806104,75.8637162981249
69.9671884211369,74.9010915259008
64.6457499325419,76.8862491504476
70.7832911275365,69.9451607598133
77.5822145663829,64.2110995237924
60.6234667493208,68.2571783390669
77.3588782159502,73.9253970122085
73.0392826121602,68.4268211665001
75.1499812375809,71.8767781413223
76.8920215005413,67.4737667188142
59.9650676881494,66.5814305965196
88.4375646515499,79.2243679352603
58.7315909487394,68.0593654162215
90.5120630639018,87.0381707546814
82.4744249078667,73.8806309315883
64.2099624564965,71.2819536772755
75.9919361858219,68.7450550823265
79.9987707534477,71.6886675661366
78.3004030214685,69.9139872397282
76.2268779507595,68.163114528789
64.5726789759479,77.0816381463224
83.8383320313577,54.4687697553396
96.0900019910024,64.6634965982725
77.1137088117045,69.7064612409491
78.1603309260524,76.7019798472143
84.6779432784611,62.9407849518478
71.5795892367169,72.909652539731
80.7964863889544,83.1697643830912
75.5951839029635,63.2470150243077
84.1250765242742,63.6490795215748
75.7673524453333,83.504858957415
70.0004635159797,62.8295128474752
